ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,86.95,10.76,99.17,25.8,30.55,5.58,134.21,582.19
Small Forehead,1.0,87.84,13.04,99.4,38.29,38.53,16.15,139.42,685.16
Cheeks and Nose,2.0,86.95,10.89,99.25,30.04,28.64,9.37,187.49,454.85
Left Cheek,3.0,86.7,13.93,99.31,34.49,39.89,11.73,187.46,529.84
Right Cheek,4.0,86.19,10.38,99.43,28.24,37.48,10.69,173.31,396.39
Crop Face,5.0,86.57,11.02,99.31,20.02,24.79,5.45,112.82,376.97
Averaged,,86.87,11.67,99.31,29.48,33.31,9.83,155.78,504.23
