ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,80.03,13.88,99.15,24.9,27.02,6.52,65.6,324.09
Small Forehead,1.0,79.58,12.7,99.32,53.12,43.31,27.04,415.36,456.29
Cheeks and Nose,2.0,79.58,12.26,99.34,32.96,29.67,14.29,153.43,177.96
Left Cheek,3.0,79.88,15.5,99.3,28.41,35.78,10.44,213.86,564.71
Right Cheek,4.0,80.03,14.17,99.5,33.19,33.99,11.58,156.76,358.59
Crop Face,5.0,79.58,13.0,99.34,25.19,32.48,7.04,96.05,276.44
Averaged,,79.78,13.58,99.32,32.96,33.71,12.82,183.51,359.68
