ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,87.22,10.64,99.02,28.52,36.14,8.66,177.35,468.78
Small Forehead,1.0,87.09,11.77,99.18,46.25,48.59,25.32,276.1,870.2
Cheeks and Nose,2.0,88.87,10.0,99.04,39.68,44.63,22.04,219.86,461.16
Left Cheek,3.0,89.25,15.07,98.91,42.43,43.98,17.73,320.17,892.88
Right Cheek,4.0,98.36,15.07,98.95,44.59,42.23,20.26,320.85,467.63
Crop Face,5.0,89.25,9.75,98.82,26.38,45.54,10.44,90.7,438.57
Averaged,,90.01,12.05,98.99,37.98,43.52,17.41,234.17,599.87
