ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,75.88,12.59,98.92,56.91,51.7,23.09,263.86,814.46
Small Forehead,1.0,75.88,14.24,98.7,54.49,53.02,32.12,347.62,918.71
Cheeks and Nose,2.0,75.88,16.14,99.16,62.79,52.05,27.36,345.13,653.32
Left Cheek,3.0,78.81,16.02,99.08,78.77,70.3,44.05,1019.48,1175.74
Right Cheek,4.0,72.96,17.29,99.21,67.41,59.25,26.54,882.37,1381.3
Crop Face,5.0,73.47,16.02,99.11,35.62,31.73,16.19,125.28,454.59
Averaged,,75.48,15.38,99.03,59.33,53.01,28.22,497.29,899.69
