ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,64.29,15.18,99.27,51.61,72.22,28.97,825.87,1311.72
Small Forehead,1.0,72.77,13.54,99.31,63.47,66.26,43.78,933.87,1553.8
Cheeks and Nose,2.0,100.87,14.81,99.08,41.65,46.41,28.9,120.82,680.16
Left Cheek,3.0,66.7,14.17,98.87,38.34,60.49,18.77,345.91,623.58
Right Cheek,4.0,125.92,18.1,98.86,36.72,39.01,15.11,142.49,157.02
Crop Face,5.0,88.09,12.4,99.15,41.46,59.48,25.07,225.96,469.19
Averaged,,86.44,14.7,99.09,45.54,57.31,26.77,432.49,799.24
