model_name,lr,epochs,optimizer,loss,results,mae,mse,scaled,prepros,target,time
model2_hr,0.0005,180,RMSprop,mse,"[161.81851196289062, 161.81851196289062, 10.756728172302246]",10.756729384610091,161.81852164124078,False,60_no_overlap,calculated_hr,2023-06-22 04:53:04.352387
model2_hr,0.0005,180,RMSprop,mse,"[161.84866333007812, 161.84866333007812, 10.7742280960083]",10.77422719257942,161.84867623055976,False,60,calculated_hr,2023-06-22 05:49:12.260830
model2_hr,0.0005,180,RMSprop,mse,"[58.16443634033203, 58.16443634033203, 4.486476898193359]",4.4864765016163375,58.164448678688174,False,60_15_overlap,calculated_hr,2023-06-22 07:23:26.197528
model2_hr,0.0005,180,RMSprop,mse,"[58.217044830322266, 58.217044830322266, 4.590521812438965]",4.590522624382444,58.21703085984048,False,60,calculated_hr,2023-06-22 18:34:40.875340
