model_name,lr,epochs,optimizer,loss,results,mae,mse,scaled,time
model2_hr,0.0005,300,RMSprop,mse,"[133.88021850585938, 133.88021850585938, 9.441452026367188]",9.44145257868822,133.8802205140988,False,2023-06-21 05:09:43.646139
model2_hr,0.0005,300,Adam,mse,"[133.86053466796875, 133.86053466796875, 9.439519882202148]",9.439519889566428,133.8605363319416,False,2023-06-21 05:24:16.709470
model2_hr,0.005,300,RMSprop,mse,"[136.6289825439453, 136.6289825439453, 9.641968727111816]",9.64197248657698,136.62902585299088,False,2023-06-21 06:14:46.075216
model2_hr,0.005,300,Adam,mse,"[134.5015411376953, 134.5015411376953, 9.516594886779785]",9.516593653262811,134.50154643049422,False,2023-06-21 06:29:17.030408
model2_hr,5e-05,300,RMSprop,mse,"[133.8730926513672, 133.8730926513672, 9.440840721130371]",9.440840518612658,133.87308962089213,False,2023-06-21 07:23:02.487851
model2_hr,5e-05,300,Adam,mse,"[133.87652587890625, 133.87652587890625, 9.441134452819824]",9.44113503828012,133.87653004130036,False,2023-06-21 08:06:18.807318
