ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,74.57,15.8,99.02,39.11,41.19,23.89,236.02,654.96
Small Forehead,1.0,73.98,13.15,99.04,38.62,53.21,24.07,341.82,761.23
Cheeks and Nose,2.0,74.12,11.82,99.22,26.6,26.1,7.04,130.87,195.41
Left Cheek,3.0,73.98,16.83,99.23,46.25,44.97,21.67,252.78,488.29
Right Cheek,4.0,73.68,14.47,99.34,33.93,29.88,12.45,134.11,259.4
Crop Face,5.0,73.98,12.7,99.17,34.29,35.98,20.93,289.1,403.01
Averaged,,74.05,14.13,99.17,36.47,38.56,18.34,230.78,460.38
