ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,75.77,12.16,99.19,28.2,35.5,13.03,147.49,367.59
Small Forehead,1.0,75.77,14.53,99.37,39.31,36.95,19.16,204.45,675.0
Cheeks and Nose,2.0,75.77,12.01,99.19,38.23,35.81,25.18,196.31,466.85
Left Cheek,3.0,75.62,13.5,99.36,32.22,40.04,21.21,168.92,674.53
Right Cheek,4.0,76.07,16.16,99.32,41.43,37.71,21.06,334.47,568.46
Crop Face,5.0,75.92,14.09,99.22,29.96,30.33,14.85,140.83,381.8
Averaged,,75.82,13.74,99.28,34.89,36.06,19.08,198.74,522.37
