ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,66.04,18.39,99.31,35.39,58.59,17.05,327.32,2467.32
Small Forehead,1.0,72.46,16.84,99.39,41.27,47.62,22.18,286.45,606.87
Cheeks and Nose,2.0,67.59,17.28,99.42,42.4,51.72,30.84,158.94,953.26
Left Cheek,3.0,72.24,15.51,99.54,43.98,45.59,31.36,279.08,934.4
Right Cheek,4.0,74.68,14.85,99.52,41.94,56.63,22.6,339.04,1083.06
Crop Face,5.0,67.15,18.17,99.34,33.9,38.8,22.29,331.52,848.32
Averaged,,70.03,16.84,99.42,39.81,49.83,24.39,287.06,1148.87
