ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,56.11,15.51,99.15,66.3,73.54,50.0,884.72,2168.04
Small Forehead,1.0,56.11,20.38,99.23,54.52,60.14,36.34,357.5,500.37
Cheeks and Nose,2.0,56.11,14.77,99.25,72.75,84.19,45.83,1004.78,2282.27
Left Cheek,3.0,56.26,19.05,99.35,57.38,80.43,41.33,680.97,1746.83
Right Cheek,4.0,55.96,13.15,99.48,84.79,68.5,59.06,1355.71,1830.17
Crop Face,5.0,56.11,17.72,99.31,61.29,104.07,41.67,1478.11,4527.96
Averaged,,56.11,16.76,99.3,66.17,78.48,45.71,960.3,2175.94
