ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,86.99,15.66,99.27,20.24,24.83,6.08,75.14,259.37
Small Forehead,1.0,87.29,15.21,99.42,21.3,25.4,10.35,33.81,131.65
Cheeks and Nose,2.0,87.14,14.18,99.12,13.71,19.3,0.0,54.55,123.22
Left Cheek,3.0,87.14,13.0,99.24,26.38,21.43,7.75,38.14,107.02
Right Cheek,4.0,87.29,16.54,98.97,20.94,26.22,4.08,86.2,160.59
Crop Face,5.0,87.29,15.36,99.16,16.77,19.72,3.18,69.99,156.01
Averaged,,87.19,14.99,99.2,19.89,22.82,5.24,59.64,156.31
