ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,72.52,15.32,99.42,57.11,61.78,37.23,439.84,1830.29
Small Forehead,1.0,71.76,13.8,99.57,61.35,64.55,33.16,468.52,653.51
Cheeks and Nose,2.0,72.52,13.55,99.42,41.08,50.42,18.47,425.81,867.35
Left Cheek,3.0,78.6,12.66,99.41,37.84,43.69,21.23,211.79,629.38
Right Cheek,4.0,85.94,14.3,99.48,43.45,53.01,25.86,378.48,807.84
Crop Face,5.0,72.14,12.15,99.41,38.89,34.06,20.95,134.5,469.9
Averaged,,75.58,13.63,99.45,46.62,51.25,26.15,343.16,876.38
