ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,70.4,16.14,99.52,39.05,48.91,21.02,462.86,1371.76
Small Forehead,1.0,81.2,17.66,99.53,69.78,62.1,33.68,1379.26,1261.22
Cheeks and Nose,2.0,77.64,14.23,99.29,55.13,54.44,22.18,493.39,850.26
Left Cheek,3.0,74.47,16.39,99.43,44.28,56.34,23.85,454.78,990.29
Right Cheek,4.0,82.22,15.5,99.41,61.69,55.79,32.65,290.98,631.02
Crop Face,5.0,74.59,16.14,99.44,66.42,61.69,31.03,706.78,1449.66
Averaged,,76.75,16.01,99.44,56.06,56.54,27.4,631.34,1092.37
