ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,57.67,13.5,99.46,66.6,75.36,45.56,854.52,1857.79
Small Forehead,1.0,64.34,13.35,99.52,43.94,66.0,24.56,857.87,1874.08
Cheeks and Nose,2.0,55.74,11.72,99.26,55.03,66.48,36.8,280.69,702.25
Left Cheek,3.0,80.36,12.75,99.18,27.8,51.47,9.03,252.45,1416.87
Right Cheek,4.0,67.61,13.2,99.39,64.64,63.72,36.46,503.28,985.24
Crop Face,5.0,55.45,14.38,99.31,90.97,80.99,54.61,1163.57,2674.54
Averaged,,63.53,13.15,99.35,58.16,67.34,34.5,652.06,1585.13
