ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,70.12,16.33,99.33,53.59,52.51,29.93,535.0,1128.55
Small Forehead,1.0,78.34,15.44,99.39,36.11,58.41,21.1,406.06,1701.37
Cheeks and Nose,2.0,67.08,13.17,99.1,62.44,53.68,37.06,436.42,1135.77
Left Cheek,3.0,80.24,12.53,99.46,29.38,51.23,9.09,452.7,751.52
Right Cheek,4.0,78.22,15.57,99.52,42.34,52.76,17.96,425.68,845.81
Crop Face,5.0,65.56,13.93,99.2,68.89,64.5,38.93,751.9,2166.68
Averaged,,73.26,14.5,99.33,48.79,55.51,25.68,501.29,1288.28
