ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,84.51,12.58,99.19,35.21,35.97,10.48,84.91,379.75
Small Forehead,1.0,85.91,10.81,99.22,30.83,42.14,14.82,334.54,567.73
Cheeks and Nose,2.0,84.64,13.6,99.11,24.1,21.66,9.09,38.77,87.43
Left Cheek,3.0,85.02,13.73,99.16,27.57,34.01,10.78,170.24,426.21
Right Cheek,4.0,85.02,12.33,99.38,65.64,50.84,21.43,496.46,445.74
Crop Face,5.0,84.51,14.11,99.13,26.3,23.97,7.01,52.49,212.49
Averaged,,84.93,12.86,99.2,34.94,34.76,12.27,196.24,353.23
