ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,59.62,18.86,99.06,54.15,72.03,20.71,644.87,1049.88
Small Forehead,1.0,68.36,14.94,99.16,55.15,56.98,32.74,146.58,850.91
Cheeks and Nose,2.0,59.62,13.42,99.12,56.88,57.5,34.29,411.99,1527.17
Left Cheek,3.0,61.9,11.39,99.28,54.36,63.14,26.8,315.56,1196.5
Right Cheek,4.0,62.41,14.81,99.19,57.81,76.02,29.48,535.93,1495.23
Crop Face,5.0,59.5,13.04,99.1,56.73,54.63,24.29,398.55,1704.33
Averaged,,61.9,14.41,99.15,55.85,63.38,28.05,408.91,1304.0
