ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,86.32,12.66,99.32,35.03,40.43,14.56,221.77,526.13
Small Forehead,1.0,100.75,18.98,99.52,45.67,41.56,24.29,162.17,413.1
Cheeks and Nose,2.0,86.82,13.16,99.37,27.22,36.56,9.59,123.64,323.15
Left Cheek,3.0,82.52,16.07,99.59,42.74,44.79,22.38,279.54,391.32
Right Cheek,4.0,80.24,18.73,99.27,54.44,58.15,33.48,335.35,966.73
Crop Face,5.0,87.2,15.06,99.46,43.93,42.95,21.99,222.0,367.46
Averaged,,87.31,15.78,99.42,41.5,44.07,21.05,224.08,497.98
