ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,85.52,18.43,99.38,66.49,58.93,33.07,608.3,962.0
Small Forehead,1.0,85.4,11.06,99.45,45.99,52.81,27.49,282.0,928.21
Cheeks and Nose,2.0,65.95,12.58,99.28,80.17,74.65,37.45,1387.97,2090.28
Left Cheek,3.0,78.66,16.9,99.41,62.64,68.14,25.65,560.14,2021.67
Right Cheek,4.0,82.35,14.74,99.51,68.83,63.31,21.02,949.85,2181.26
Crop Face,5.0,60.49,13.73,99.38,43.61,60.67,25.41,633.5,1871.57
Averaged,,76.4,14.57,99.4,61.29,63.09,28.35,736.96,1675.83
