ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,57.56,12.71,99.39,45.99,76.12,26.3,778.6,3204.7
Small Forehead,1.0,70.78,12.97,99.42,65.01,61.67,26.56,1212.78,964.36
Cheeks and Nose,2.0,53.88,15.25,99.28,56.88,82.15,31.41,1114.36,4244.79
Left Cheek,3.0,54.01,17.16,99.5,47.43,81.4,19.84,905.99,2465.7
Right Cheek,4.0,53.88,11.82,99.4,60.01,72.88,39.6,883.19,1150.76
Crop Face,5.0,53.75,15.0,99.18,76.46,68.98,36.71,751.61,1639.9
Averaged,,57.31,14.15,99.36,58.63,73.87,30.07,941.09,2278.37
