ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,89.34,12.55,99.08,28.18,22.94,10.6,33.68,119.34
Small Forehead,1.0,89.64,10.64,98.94,20.5,20.63,0.0,41.54,142.63
Cheeks and Nose,2.0,89.19,11.37,98.96,22.12,19.11,3.33,36.52,103.83
Left Cheek,3.0,89.49,15.21,99.15,28.97,24.91,8.58,45.69,167.78
Right Cheek,4.0,89.34,12.56,99.0,50.73,41.32,25.86,127.96,282.82
Crop Face,5.0,89.49,10.49,99.04,20.58,20.16,3.03,31.67,108.15
Averaged,,89.42,12.14,99.03,28.51,24.84,8.57,52.84,154.09
