ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,87.07,13.22,99.25,35.68,34.2,17.21,185.54,525.5
Small Forehead,1.0,86.82,14.37,99.28,37.61,40.0,20.59,254.3,670.85
Cheeks and Nose,2.0,87.45,10.3,99.32,27.81,30.87,12.23,93.73,360.23
Left Cheek,3.0,86.95,12.08,99.43,34.52,38.13,15.63,252.13,354.82
Right Cheek,4.0,87.2,11.06,99.45,31.86,32.14,16.27,174.2,406.1
Crop Face,5.0,87.33,9.79,99.28,24.62,28.76,3.57,63.12,144.33
Averaged,,87.14,11.8,99.34,32.02,34.02,14.25,170.5,410.3
