ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,86.1,14.92,99.14,26.76,19.77,7.58,36.49,110.47
Small Forehead,1.0,86.1,14.77,99.26,28.38,29.41,7.58,75.32,527.75
Cheeks and Nose,2.0,86.55,15.36,99.0,22.85,19.56,4.54,33.29,154.86
Left Cheek,3.0,86.69,15.21,99.04,28.06,25.29,7.58,81.02,199.17
Right Cheek,4.0,86.4,15.06,99.11,26.73,21.78,9.09,32.54,150.73
Crop Face,5.0,86.55,11.37,99.06,23.23,18.68,3.03,31.62,110.06
Averaged,,86.4,14.45,99.1,26.0,22.42,6.57,48.38,208.84
