ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,91.26,14.68,99.09,23.31,22.59,2.6,29.46,103.55
Small Forehead,1.0,91.13,13.67,99.21,25.86,33.12,8.18,118.35,495.16
Cheeks and Nose,2.0,90.75,15.95,99.1,21.21,24.32,3.9,79.22,143.31
Left Cheek,3.0,91.13,15.95,99.13,31.01,33.48,11.58,56.86,299.1
Right Cheek,4.0,90.5,16.2,99.06,42.02,47.65,22.51,326.45,706.61
Crop Face,5.0,91.0,16.2,99.09,26.08,26.65,5.19,77.9,179.77
Averaged,,90.96,15.44,99.11,28.25,31.3,8.99,114.71,321.25
