ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,65.71,14.92,99.14,53.52,56.66,32.36,288.93,1126.3
Small Forehead,1.0,65.56,15.65,99.29,67.11,64.89,36.57,792.13,1392.29
Cheeks and Nose,2.0,65.71,13.15,99.04,41.03,51.24,23.61,320.19,1227.05
Left Cheek,3.0,66.3,13.44,99.1,42.22,56.24,27.8,752.19,1957.8
Right Cheek,4.0,64.97,14.62,99.05,39.83,55.5,23.98,397.27,1499.77
Crop Face,5.0,65.41,14.62,98.87,41.24,52.04,23.7,229.92,1189.59
Averaged,,65.61,14.4,99.08,47.49,56.1,28.0,463.44,1398.8
