ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,86.24,15.65,99.22,17.12,18.49,1.39,48.39,118.05
Small Forehead,1.0,86.53,13.29,99.33,24.36,26.58,5.56,108.33,214.56
Cheeks and Nose,2.0,85.94,11.37,99.29,25.67,23.36,5.81,77.56,113.03
Left Cheek,3.0,86.24,14.18,99.4,42.78,44.36,11.62,380.97,580.02
Right Cheek,4.0,86.24,16.84,99.35,23.45,28.29,12.12,101.41,348.89
Crop Face,5.0,85.94,14.03,99.36,23.1,23.13,3.03,67.68,153.9
Averaged,,86.19,14.23,99.32,26.08,27.37,6.59,130.72,254.74
