ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,85.67,16.02,99.32,37.42,47.76,14.61,241.41,1049.97
Small Forehead,1.0,84.4,13.35,99.33,34.1,49.09,15.74,245.56,1086.12
Cheeks and Nose,2.0,85.04,16.14,99.43,36.44,40.93,13.49,268.38,485.13
Left Cheek,3.0,80.08,12.46,99.42,65.23,52.91,33.4,293.6,856.69
Right Cheek,4.0,89.1,11.19,98.98,66.79,56.97,26.88,506.76,815.84
Crop Face,5.0,80.72,16.91,99.4,50.69,49.27,28.05,447.88,735.18
Averaged,,84.17,14.34,99.31,48.44,49.49,22.03,333.93,838.16
