ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,72.8,16.31,99.1,31.67,36.39,17.59,299.63,488.3
Small Forehead,1.0,72.65,13.79,99.2,29.09,37.25,12.04,221.1,481.84
Cheeks and Nose,2.0,72.36,12.01,99.13,33.44,34.78,16.85,103.44,482.85
Left Cheek,3.0,72.06,16.02,99.22,45.29,46.05,21.3,259.31,546.36
Right Cheek,4.0,72.36,13.2,99.25,43.76,38.16,29.26,191.3,560.02
Crop Face,5.0,72.8,18.39,99.19,30.6,34.79,11.67,224.0,460.29
Averaged,,72.51,14.95,99.18,35.64,37.9,18.12,216.46,503.28
