ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,83.51,12.84,98.8,32.91,32.97,15.97,71.75,494.13
Small Forehead,1.0,80.59,14.62,98.7,38.89,37.38,24.79,129.63,329.63
Cheeks and Nose,2.0,83.0,11.32,99.15,25.22,27.96,8.05,51.61,243.28
Left Cheek,3.0,82.75,17.41,99.19,40.12,35.76,18.12,209.6,337.43
Right Cheek,4.0,82.62,11.32,99.32,34.73,33.58,13.75,120.75,342.44
Crop Face,5.0,83.13,10.93,99.12,22.21,27.7,5.45,130.67,171.44
Averaged,,82.6,13.07,99.05,32.35,32.56,14.36,119.0,319.73
