ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,98.35,10.78,99.09,29.98,23.62,6.55,21.56,100.29
Small Forehead,1.0,98.34,10.93,99.18,27.76,22.78,6.73,42.8,175.23
Cheeks and Nose,2.0,98.64,10.49,98.86,24.41,22.81,5.34,22.46,75.7
Left Cheek,3.0,97.76,10.49,98.93,35.36,34.09,12.7,117.4,527.72
Right Cheek,4.0,98.64,11.67,99.03,37.8,35.3,13.52,40.53,210.11
Crop Face,5.0,98.49,11.37,99.06,16.45,17.61,2.67,28.46,60.37
Averaged,,98.37,10.96,99.03,28.63,26.04,7.92,45.54,191.57
