ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,77.66,11.19,99.17,34.1,34.48,14.44,110.97,351.73
Small Forehead,1.0,77.79,13.47,99.47,46.08,46.2,25.19,242.55,795.73
Cheeks and Nose,2.0,77.79,15.89,99.12,26.89,28.34,4.6,93.52,169.89
Left Cheek,3.0,77.53,16.52,99.22,31.91,38.86,11.04,238.93,642.8
Right Cheek,4.0,78.17,15.38,99.25,35.4,43.59,16.94,319.83,881.36
Crop Face,5.0,77.79,14.62,99.06,34.73,31.57,16.38,77.07,317.97
Averaged,,77.79,14.51,99.21,34.85,37.17,14.76,180.48,526.58
