ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,75.77,9.75,99.18,20.47,26.22,1.67,99.43,266.26
Small Forehead,1.0,75.33,11.38,99.15,32.75,33.15,8.7,88.9,278.87
Cheeks and Nose,2.0,75.47,13.15,99.22,19.54,23.12,10.0,145.7,195.19
Left Cheek,3.0,75.77,10.93,99.38,18.9,25.33,3.33,111.05,185.05
Right Cheek,4.0,75.92,14.77,99.4,22.36,29.3,3.7,108.56,335.27
Crop Face,5.0,75.62,14.33,99.18,21.15,24.48,6.67,43.5,184.98
Averaged,,75.65,12.38,99.25,22.53,26.93,5.68,99.52,240.94
