ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,69.99,11.52,99.39,30.45,32.15,12.96,160.65,389.36
Small Forehead,1.0,69.99,13.59,99.51,39.64,37.8,24.07,327.15,551.01
Cheeks and Nose,2.0,70.28,11.37,99.06,32.3,30.9,11.57,60.65,243.04
Left Cheek,3.0,70.28,13.15,99.22,48.84,39.2,28.38,108.65,352.42
Right Cheek,4.0,70.14,13.0,99.38,33.17,43.08,21.48,122.44,848.38
Crop Face,5.0,70.14,13.73,99.09,36.61,30.96,15.28,87.82,552.45
Averaged,,70.14,12.73,99.28,36.84,35.68,18.96,144.56,489.44
