ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,95.58,18.02,99.26,24.79,32.36,6.11,75.29,274.45
Small Forehead,1.0,96.17,17.88,99.44,28.71,27.91,8.12,63.81,194.21
Cheeks and Nose,2.0,94.99,19.2,99.22,21.08,24.63,4.29,58.19,100.66
Left Cheek,3.0,92.47,13.74,99.24,20.71,25.41,1.39,68.83,95.25
Right Cheek,4.0,94.1,14.18,99.22,26.35,26.56,5.24,23.1,236.0
Crop Face,5.0,95.13,16.25,99.19,20.04,22.54,0.0,20.71,137.24
Averaged,,94.74,16.54,99.26,23.61,26.57,4.19,51.66,172.97
