ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,67.06,11.23,99.4,33.58,43.1,16.66,348.22,434.58
Small Forehead,1.0,67.2,14.48,99.52,28.87,43.11,7.04,267.32,751.86
Cheeks and Nose,2.0,67.06,10.19,99.12,33.41,28.77,20.6,165.49,188.1
Left Cheek,3.0,67.06,13.44,99.18,42.85,37.14,22.92,266.51,252.7
Right Cheek,4.0,67.06,12.7,98.95,32.91,33.98,18.98,157.05,312.57
Crop Face,5.0,66.91,16.54,99.21,30.1,25.82,14.82,158.6,160.65
Averaged,,67.06,13.1,99.23,33.62,35.32,16.84,227.2,350.08
