ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,57.2,13.86,99.3,56.42,74.77,27.96,701.17,2170.21
Small Forehead,1.0,63.81,15.0,99.36,50.19,59.47,28.68,469.26,2408.05
Cheeks and Nose,2.0,57.2,15.0,99.4,52.63,78.9,30.16,1374.45,2950.36
Left Cheek,3.0,57.33,14.62,99.39,46.07,74.77,24.35,921.51,2553.91
Right Cheek,4.0,57.07,16.01,99.42,67.21,68.9,33.38,427.54,985.67
Crop Face,5.0,57.33,13.22,99.46,60.78,67.22,49.97,901.65,1660.02
Averaged,,58.32,14.62,99.39,55.55,70.67,32.42,799.26,2121.37
