ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,85.27,11.82,99.31,45.74,38.68,23.48,183.74,189.64
Small Forehead,1.0,79.81,13.35,99.38,62.34,58.4,18.56,799.94,3410.36
Cheeks and Nose,2.0,87.94,13.47,99.2,35.26,38.35,11.95,327.41,855.55
Left Cheek,3.0,83.88,11.82,99.25,29.69,31.67,11.3,156.35,395.88
Right Cheek,4.0,80.44,13.98,99.25,64.35,57.22,27.74,416.64,637.92
Crop Face,5.0,87.82,12.46,99.19,25.74,24.59,7.14,50.78,111.34
Averaged,,84.19,12.82,99.26,43.85,41.49,16.69,322.48,933.45
