ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,84.37,10.92,99.2,26.28,33.23,7.79,79.52,206.05
Small Forehead,1.0,84.88,10.8,99.36,38.93,40.2,16.02,219.66,477.72
Cheeks and Nose,2.0,84.12,13.59,99.26,31.95,28.94,14.22,85.1,292.51
Left Cheek,3.0,87.55,13.59,99.34,44.21,55.45,18.11,310.62,728.17
Right Cheek,4.0,85.52,13.72,99.43,50.97,43.93,31.12,344.25,983.34
Crop Face,5.0,84.5,9.91,99.31,18.54,24.85,2.86,83.19,183.55
Averaged,,85.16,12.09,99.32,35.15,37.77,15.02,187.06,478.56
