ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,83.02,14.94,99.34,28.74,33.37,11.49,140.06,560.02
Small Forehead,1.0,84.16,17.21,99.51,38.23,42.59,22.12,146.94,500.71
Cheeks and Nose,2.0,83.53,10.89,99.37,18.97,33.38,2.49,114.37,247.96
Left Cheek,3.0,82.77,15.95,99.36,30.81,36.36,14.46,255.74,540.7
Right Cheek,4.0,88.34,13.04,99.59,40.25,48.12,19.42,196.94,1212.56
Crop Face,5.0,83.53,12.03,99.37,32.12,33.95,13.38,102.0,378.54
Averaged,,84.22,14.01,99.42,31.52,37.96,13.89,159.34,573.42
