ROI Name,ROI No,HR,RR,SpO2,RMSSD,SDNN,PNN50,LF,HF
Big Forehead,0.0,99.39,13.15,99.16,26.28,25.7,5.59,47.78,144.43
Small Forehead,1.0,99.24,16.4,99.21,28.29,24.78,6.94,59.29,117.0
Cheeks and Nose,2.0,98.8,12.85,99.03,22.58,18.84,1.39,11.75,94.42
Left Cheek,3.0,97.47,11.96,98.94,21.54,26.56,3.84,91.02,256.49
Right Cheek,4.0,96.88,18.46,98.97,21.19,26.9,3.85,88.64,216.78
Crop Face,5.0,99.39,13.15,99.16,21.01,17.08,5.13,28.19,130.58
Averaged,,98.53,14.33,99.08,23.48,23.31,4.46,54.44,159.95
